人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
马忠,https://baike.baidu.com/item/%E9%A9%AC%E5%BF%A0/3935441,"[""汉末三国""]","[""马忠""]","[""汉人""]","[""巴西阆中（今四川阆中）""]","[""249年""]","[""平定南中叛乱，稳定南中秩序""]","[""庲降都督、镇南大将军、平尚书事""]","[""德信""]","[""彭乡侯""]","[""狐笃""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙权,https://baike.baidu.com/item/%E5%AD%99%E6%9D%83/17337,"[""汉末三国""]","[""孙权""]","[""汉族""]",,"[""252年5月21日""]","[""接手并安定江东、建立吴国；发展江南经济；开疆拓土，派军抵达夷州""]",,"[""仲谋""]",,"[""孙仲谋"", ""吴大帝"", ""吴太祖""]","[""182年""]","[""大皇帝""]","[""吴郡富春县""]",,,,,,,,,,,,"[""黄武（吴王时）、黄龙、嘉禾、赤乌、太元、神凤""]",,"[""229年－252年""]",,,,"[""太祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""蒋陵""]",,,,,,,,,,,,,,,,,,,"[""草船借箭、孙权劝学、生子当如孙仲谋 等""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙亮,https://baike.baidu.com/item/%E5%AD%99%E4%BA%AE/8386,"[""三国（东吴）""]","[""孙亮""]","[""汉族""]","[""丹阳郡建业县（今江苏省南京市）""]","[""260年""]","[""计除权臣诸葛恪""]",,"[""子明""]",,"[""吴少帝"", ""吴废帝"", ""会稽王""]","[""243年""]",,"[""吴郡富春县（今浙江省富阳区）""]",,,,,,,,"[""男""]",,,,"[""建兴（252年）、五凤（254年）、太平（256年）""]",,"[""252年5月23日–258年11月9日""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙休,https://baike.baidu.com/item/%E5%AD%99%E4%BC%91/1767640,"[""三国（东吴）""]","[""孙休""]","[""汉族""]","[""丹阳郡建业县（今江苏省南京市）""]","[""264年9月3日""]","[""颁布良制，惠及百姓""]",,"[""子烈""]",,"[""吴景帝""]","[""235年""]","[""景皇帝""]","[""吴郡富春县（今浙江省杭州市富阳区）""]",,,,,,,,"[""男""]",,,,"[""永安（258年—264年）""]",,"[""258年11月30日–264年9月3日""]",,,,"[""太宗""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""定陵""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙皓,https://baike.baidu.com/item/%E5%AD%99%E7%9A%93/3705,"[""三国""]","[""孙皓""]","[""汉族""]","[""丹阳郡建业县（今江苏省南京市）""]","[""284年""]",,,"[""元宗""]",,"[""吴末帝"", ""归命侯""]","[""242年""]",,"[""吴郡富春县（今浙江省杭州市富阳区）""]",,"[""遗群臣书""]",,,,,,"[""男""]",,,,"[""元兴、甘露、宝鼎、建衡、凤凰、天册、天玺、天纪""]",,"[""264年－280年5月1日""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陆逊,https://baike.baidu.com/item/%E9%99%86%E9%80%8A/17344,"[""三国东吴""]","[""陆逊""]","[""汉族""]","[""吴郡吴县""]","[""245年3月19日""]","[""与吕蒙共同击败关羽、夺取荆州；夷陵之战破刘备；石亭之战败曹休""]","[""丞相、荆州牧、右都护""]","[""伯言""]","[""江陵侯""]","[""陆议""]","[""183年""]","[""昭""]","[""吴郡吴县（今江苏苏州）""]",,"[""《与关羽书》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""吴郡陆氏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张昭,https://baike.baidu.com/item/%E5%BC%A0%E6%98%AD/4330,"[""汉末三国""]","[""张昭""]","[""汉人""]","[""徐州彭城""]","[""236年""]","[""辅佐孙策、孙权安定江东，与孙邵、滕胤等撰定朝仪""]","[""辅吴将军、班亚三司""]","[""子布""]","[""由拳侯→娄侯""]","[""张公""]","[""156年""]","[""文""]",,,"[""《春秋左氏传解》"", ""《论语注》""]",,,,,,,,,"[""张昭塞门""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""矜严，有威风""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁肃,https://baike.baidu.com/item/%E9%B2%81%E8%82%83/9396,"[""东汉""]","[""鲁肃""]","[""汉族""]","[""临淮东城（江苏省宿迁市泗阳）""]","[""217年""]","[""为孙权策划天下大计；联刘抗曹""]","[""汉昌太守、横江将军""]","[""子敬""]",,,"[""172年""]",,,,"[""榻上策""]",,,,,,,,,,,,,,,,,,,,,,,,,,"[""单刀赴会""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虞翻,https://baike.baidu.com/item/%E8%99%9E%E7%BF%BB/18125,,,,"[""会稽余姚（今浙江余姚）""]","[""233年""]","[""集当时及前代易学之大成""]",,,,"[""虞仲翔""]","[""164年""]",,,,,"[""虞翻""]","[""汉族""]","[""经学家、官员""]",,"[""吴国""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""泾县""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
顾雍,https://baike.baidu.com/item/%E9%A1%BE%E9%9B%8D/47126,"[""汉末三国""]","[""顾雍""]","[""汉族""]","[""吴郡吴县""]","[""243年""]","[""为相十九年，多有匡弼""]","[""丞相、平尚书事""]","[""元叹""]","[""醴陵侯""]","[""顾公""]","[""168年""]","[""肃""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""苏州藏书小王山""]",,"[""吴郡顾氏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸葛恪,https://baike.baidu.com/item/%E8%AF%B8%E8%91%9B%E6%81%AA/1817256,"[""汉末三国""]","[""诸葛恪""]","[""汉族""]","[""琅琊阳都""]","[""253年""]","[""在东兴堤大胜魏军""]","[""丞相、大将军等""]","[""元逊""]","[""阳都侯""]",,"[""203年""]",,,,"[""《答费祎》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陆凯,https://baike.baidu.com/item/%E9%99%86%E5%87%AF/10746153,"[""东汉→三国""]","[""陆凯""]","[""汉族""]",,"[""269年""]","[""讨平山越，屡谏孙皓""]","[""左丞相""]","[""敬风""]","[""嘉兴侯""]",,"[""198年""]",,"[""吴郡吴县""]",,"[""《吴先贤传》"", ""《太玄经注》""]",,,,,,,,,"[""陆凯贵盛""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周瑜,https://baike.baidu.com/item/%E5%91%A8%E7%91%9C/17342,"[""东汉末年""]","[""周瑜""]","[""汉族""]","[""庐江舒""]","[""210年""]","[""辅佐孙策平定江东，赤壁破曹操，南郡败曹仁、提出征伐益州方案""]","[""都督、偏将军、南郡太守""]","[""公瑾""]",,"[""周郎""]","[""175年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""平虏伯（北宋）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吕蒙,https://baike.baidu.com/item/%E5%90%95%E8%92%99/6432,"[""东汉""]","[""吕蒙""]","[""汉族""]","[""汝南富陂""]","[""220年""]","[""攻皖城；取三郡；濡须之战；袭荆州""]","[""左护军、虎威将军、南郡太守""]","[""子明""]","[""孱陵侯""]",,"[""178年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘宁,https://baike.baidu.com/item/%E7%94%98%E5%AE%81/7048,"[""汉末三国""]","[""甘宁""]","[""汉人""]","[""巴郡临江""]","[""215年""]","[""对峙关羽，夜袭曹营""]","[""西陵太守、折冲将军""]","[""兴霸""]",,"[""锦帆贼""]",,,,,,,,,,,,,,"[""甘宁奢侈、谈笑自若""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""昭毅武惠遗爱灵显王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
程普,https://baike.baidu.com/item/%E7%A8%8B%E6%99%AE/69841,"[""东汉末年""]","[""程普""]","[""汉族""]","[""右北平土垠（今河北丰润东）""]",,"[""从讨黄巾、破董卓；救出孙策，定江东；赤壁之战、南郡之战""]","[""荡寇将军""]","[""德谋""]",,"[""程公""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄盖,https://baike.baidu.com/item/%E9%BB%84%E7%9B%96/17341,"[""东汉""]","[""黄盖""]","[""汉族""]","[""零陵泉陵""]",,"[""镇抚山越；在赤壁之战中诈降，献计火攻""]","[""偏将军、武陵太守""]","[""公覆""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩当,https://baike.baidu.com/item/%E9%9F%A9%E5%BD%93/7361,"[""汉末三国""]","[""韩当""]","[""汉族""]","[""辽西郡令支县""]","[""226年""]","[""孙吴开国功臣""]","[""昭武将军、冠军太守、都督""]","[""义公""]","[""石城侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周泰,https://baike.baidu.com/item/%E5%91%A8%E6%B3%B0/1108,"[""汉末三国""]","[""周泰""]","[""汉族""]","[""九江下蔡（今安徽凤台）""]",,"[""从征破江东，多次救孙权，从征黄祖，参与赤壁之战，留督濡须""]","[""汉中太守，奋威将军""]","[""幼平""]","[""陵阳侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒋钦,https://baike.baidu.com/item/%E8%92%8B%E9%92%A6/18109,,,,"[""九江寿春（今安徽寿县）""]","[""220年""]","[""随孙策平定四郡，讨平黟贼""]","[""右护军、荡寇将军，讨越中郎将""]",,,"[""字公奕""]",,,,,,"[""蒋钦""]","[""汉族""]","[""将领""]",,"[""中国""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丁奉,https://baike.baidu.com/item/%E4%B8%81%E5%A5%89/6786,"[""三国""]","[""丁奉""]","[""汉族""]","[""庐江安丰""]","[""271年""]","[""东兴之战，雪中奋短兵，大破魏军；诛杀孙綝""]","[""右大司马、左军师、大将军、徐州牧""]","[""承渊""]","[""安丰侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐盛,https://baike.baidu.com/item/%E5%BE%90%E7%9B%9B/17378,"[""汉末三国""]","[""徐盛""]","[""汉族""]","[""琅邪莒县""]",,"[""计退曹丕、受君主“大壮”""]","[""建武将军、安东将军、庐江太守""]","[""文向""]","[""芜湖侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凌操,https://baike.baidu.com/item/%E5%87%8C%E6%93%8D/2089493,"[""东汉末年""]","[""凌操""]","[""汉族""]","[""吴郡余杭""]","[""203年""]","[""随孙策转战江东，官至破贼校尉""]",,,,,"[""不详""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""凌统""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凌统,https://baike.baidu.com/item/%E5%87%8C%E7%BB%9F/8708,"[""汉末三国""]","[""凌统""]","[""汉族""]","[""吴郡馀杭""]","[""217年，一说237年""]","[""为孙吴政权东征西讨，屡立战功；逍遥津之战保护孙权逃离""]","[""偏将军""]","[""公绩""]",,,"[""189年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潘璋,https://baike.baidu.com/item/%E6%BD%98%E7%92%8B/1297474,,,,"[""东郡发干（今山东冠县东）""]","[""234年""]","[""合肥之战，遏制溃退；征伐荆州，生擒关羽""]",,,,"[""文珪""]",,,,,,"[""潘璋""]","[""汉族""]","[""将领""]",,,,,,,,,,"[""溧阳侯""]",,,,,,,,,,,,,,,,,,"[""PanZhang""]",,,,"[""右将军""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""三国（孙吴）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱然,https://baike.baidu.com/item/%E6%9C%B1%E7%84%B6/1785754,"[""汉末三国""]","[""朱然""]","[""汉族""]","[""丹阳故鄣（今浙江安吉）""]","[""249年""]","[""猇亭之战与陆逊合力大破刘备；坚守江陵六个月，魏军无功而退""]","[""左大司马、右军师""]","[""义封""]","[""当阳侯""]","[""施然""]","[""182年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙坚,https://baike.baidu.com/item/%E5%AD%99%E5%9D%9A/1664,"[""东汉末年""]","[""孙坚""]","[""汉族""]","[""吴郡富春""]","[""191年""]","[""斩杀华雄，大破董卓""]","[""破虏将军，豫州刺史""]","[""文台""]","[""乌程侯""]","[""孙破虏""]","[""155年""]","[""武烈皇帝""]",,,,,,,,,,"[""高陵""]",,,,,,,,,"[""始祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙策,https://baike.baidu.com/item/%E5%AD%99%E7%AD%96/17360,"[""东汉末年""]","[""孙策""]","[""汉族""]","[""吴郡富春""]","[""200年5月5日""]","[""占据江东五郡""]","[""讨逆将军""]","[""伯符""]","[""吴侯""]","[""小霸王、孙讨逆""]","[""175年""]","[""长沙桓王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张角,https://baike.baidu.com/item/%E5%BC%A0%E8%A7%92/1103,"[""东汉""]","[""张角""]","[""汉人""]","[""钜鹿""]","[""184年""]","[""创立太平道、发动黄巾起义""]",,,,"[""天公将军、大贤良师""]",,,,,,,,,,,,,,,,,,,,,,,,"[""张宝、张梁""]",,,,"[""太平道""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
何进,https://baike.baidu.com/item/%E4%BD%95%E8%BF%9B/4593,"[""东汉""]","[""何进""]","[""汉族""]","[""南阳宛县""]","[""189年""]","[""破获马元义密谋；专擅朝政""]","[""大将军""]",,"[""慎侯""]",,,,,"[""字遂高""]",,,,"[""将领、权臣、外戚""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
董卓,https://baike.baidu.com/item/%E8%91%A3%E5%8D%93/17359,"[""东汉""]","[""董卓""]","[""汉族""]","[""颍川""]","[""192年5月22日""]","[""与羌族大小百余战；北芒救驾；专擅朝政，威震天下""]","[""相国、太师""]","[""仲颖""]","[""郿侯""]",,,,"[""陇西临洮""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
袁绍,https://baike.baidu.com/item/%E8%A2%81%E7%BB%8D/16975,"[""东汉""]","[""袁绍""]","[""汉族""]","[""汝南汝阳""]","[""202年6月28日""]","[""统一河北，成为汉末最强的诸侯；治理河北政宽，百姓德之""]","[""大将军、冀州牧""]","[""本初""]","[""邺侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吕布,https://baike.baidu.com/item/%E5%90%95%E5%B8%83/9592,"[""东汉""]","[""吕布""]","[""汉族""]","[""五原郡九原县""]","[""199年2月7日""]","[""诛杀董卓，击破张燕，大败袁术，使曹操数战不利""]","[""平东将军""]","[""奉先""]","[""温侯""]","[""飞将"", ""吕温侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
袁术,https://baike.baidu.com/item/%E8%A2%81%E6%9C%AF/16976,"[""东汉""]","[""袁术""]","[""汉族""]","[""汝南汝阳""]","[""199年""]","[""与孙坚共破董卓，称雄淮南；称帝，建号仲氏""]","[""后将军""]","[""公路""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘表,https://baike.baidu.com/item/%E5%88%98%E8%A1%A8/35154,"[""东汉""]","[""刘表""]","[""汉族""]","[""山阳郡高平县""]","[""208年""]","[""雄踞荆州，立学校、修礼乐""]","[""镇南将军、荆州牧等""]","[""景升""]","[""成武侯""]","[""刘荆州"", ""刘镇南""]","[""142年""]",,,,"[""《周易章句》"", ""《五经章句》等""]",,,,,,,,,,,,,,,,,,,,,,"[""“八俊”之一""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""身长八尺余，姿貌温伟""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘璋,https://baike.baidu.com/item/%E5%88%98%E7%92%8B/4549,"[""东汉末年""]","[""刘璋""]","[""汉族""]","[""江夏竟陵（今湖北天门）""]",,,"[""振威将军、益州牧""]","[""季玉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马腾,https://baike.baidu.com/item/%E9%A9%AC%E8%85%BE/7031,"[""东汉""]","[""马腾""]","[""汉族""]","[""扶风茂陵""]","[""212年""]","[""屯驻槐里，保境安民""]","[""卫尉""]","[""寿成""]","[""槐里侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""石梁河畔""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""长八尺余，身体洪大，面鼻雄异""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张鲁,https://baike.baidu.com/item/%E5%BC%A0%E9%B2%81/4753,"[""东汉末年""]","[""张鲁""]","[""汉族""]",,"[""216年，一作245年""]","[""雄踞汉中，保留天师一脉传承""]","[""镇南将军""]","[""公祺（一说字公旗）""]","[""阆中侯""]","[""张镇南"", ""米贼""]",,"[""原""]","[""沛国丰县""]",,"[""《大道家令戒》"", ""《老子想尔注》""]",,,,,,,,,,,,,,,,,,,,,"[""正一系师太清昭化广德真君""]",,"[""五斗米道""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""邺城东""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩遂,https://baike.baidu.com/item/%E9%9F%A9%E9%81%82/1176067,"[""东汉""]","[""韩遂""]","[""汉族""]","[""凉州金城郡""]","[""215年""]","[""拥兵攻破西州，割据三十二年""]","[""征西将军""]","[""文约""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公孙瓒,https://baike.baidu.com/item/%E5%85%AC%E5%AD%99%E7%93%92/18169,"[""东汉""]","[""公孙瓒""]","[""汉族""]","[""辽西令支（今河北迁安）""]","[""199年""]","[""驱叛胡于塞表，破黄巾于孟津""]",,"[""伯圭（一说字伯珪）""]","[""易侯→蓟侯""]","[""白马将军、公孙伯圭""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩馥,https://baike.baidu.com/item/%E9%9F%A9%E9%A6%A5/4885438,"[""东汉""]","[""韩馥""]","[""汉族""]","[""颍川郡（今河南禹州）""]","[""191年""]","[""起兵讨伐董卓""]","[""御史中丞、冀州牧""]","[""文节""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陶谦,https://baike.baidu.com/item/%E9%99%B6%E8%B0%A6/8707,"[""东汉末年""]","[""陶谦""]","[""汉族""]","[""丹阳郡丹阳县""]","[""194年""]","[""击破徐州黄巾，恢复生产""]","[""安东将军、徐州牧""]","[""恭祖""]",,"[""陶恭祖""]","[""132年""]",,,,"[""《奏记朱儁》""]",,,,,,,,,"[""三让徐州""]",,,,"[""溧阳侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桥瑁,https://baike.baidu.com/item/%E6%A1%A5%E7%91%81/10949535,,,,"[""梁国睢阳（今河南商丘）""]","[""191年""]","[""檄诏诸侯讨伐董卓""]",,,,"[""元伟""]",,,,,,"[""桥瑁""]","[""汉族""]",,,"[""东汉""]",,,,,,,,,"[""东郡太守""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张宝,https://baike.baidu.com/item/%E5%BC%A0%E5%AE%9D/12520346,"[""东汉""]","[""张宝""]","[""汉族""]","[""钜鹿""]","[""184年""]","[""领导黄巾起义，击败董卓""]",,,,"[""地公将军""]",,,"[""冀州巨鹿郡(河北邢台市平乡县)""]",,,,,,,,,,,,,,,,,,,,,,,,,"[""太平道""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""张角""]","[""地公将军""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张梁,https://baike.baidu.com/item/%E5%BC%A0%E6%A2%81/18171,"[""东汉""]","[""张梁""]","[""汉族""]","[""巨鹿""]","[""184年""]","[""领导黄巾军起义""]",,,,"[""人公将军"", ""张良""]","[""暂无考证""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""太平道""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
许攸,https://baike.baidu.com/item/%E8%AE%B8%E6%94%B8/65176,"[""东汉""]","[""许攸""]","[""汉族""]","[""南阳""]","[""204年""]","[""官渡献计，奇袭乌巢""]",,"[""子远""]",,,,,,,,,,"[""谋士""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈登,https://baike.baidu.com/item/%E9%99%88%E7%99%BB/10363,"[""东汉""]","[""陈登""]","[""汉族""]","[""下邳淮浦（今江苏涟水西）""]",,"[""兴修水利，秔稻丰积；助曹操灭吕布；击败孙策进攻""]","[""伏波将军、广陵太守""]",,,,,,,"[""字元龙""]",,,,,,,,,"[""201年""]",,,,,,,"[""163年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
