人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
丁仪,https://baike.baidu.com/item/%E4%B8%81%E4%BB%AA/15808,"[""东汉""]","[""丁仪""]","[""汉族""]","[""沛国（今安徽濉溪）""]","[""220年""]",,"[""右刺奸掾""]","[""正礼""]",,,,,,,"[""《刑礼论》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈琳,https://baike.baidu.com/item/%E9%99%88%E7%90%B3/6280,"[""东汉""]","[""陈琳""]","[""汉族""]","[""广陵射阳""]","[""217年""]","[""文学创作""]","[""主簿、司空军谋祭""]","[""孔璋""]",,,,,,,"[""《为袁绍檄豫州文》"", ""《饮马长城窟行》"", ""《武军赋》""]",,,,,,,,,,,,,,,,,,,,,,"[""建安七子之一""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
司马懿,https://baike.baidu.com/item/%E5%8F%B8%E9%A9%AC%E6%87%BF/9367,"[""汉末三国""]","[""司马懿""]","[""汉族""]","[""河内温县孝敬里""]","[""251年9月7日""]","[""抵抗诸葛亮北伐，屯田水利，平定辽东""]","[""太尉、太傅""]","[""仲达""]","[""河津亭侯、向乡侯、舞阳侯""]","[""晋宣帝"", ""晋高祖"", ""司马宣王""]","[""179年""]","[""宣文侯（魏）→宣王（魏）→宣皇帝（晋）""]",,,,,,,,,,"[""首阳山高原陵""]",,,,,,,,,"[""高祖（晋）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
司马师,https://baike.baidu.com/item/%E5%8F%B8%E9%A9%AC%E5%B8%88/949451,"[""三国""]","[""司马师""]","[""汉族""]","[""河内温县""]","[""255年3月23日""]","[""新城之战击溃诸葛恪，平定毌丘俭、文钦之乱""]","[""大将军""]","[""子元""]",,"[""司马子元""]","[""208年""]","[""忠武→景王→景皇帝""]",,,,,,,,,,"[""峻平陵""]",,,,,,,,,"[""世宗""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
司马昭,https://baike.baidu.com/item/%E5%8F%B8%E9%A9%AC%E6%98%AD/29292,"[""三国""]","[""司马昭""]","[""汉族""]","[""河内温县""]","[""265年9月6日""]","[""专揽国政，攻灭蜀汉；奠定西晋基础""]","[""中郎将→大将军""]","[""子上""]","[""新城乡侯→晋公→晋王""]","[""晋文帝"", ""晋太祖"", ""司马文王""]","[""211年""]","[""文王→文皇帝""]",,,,,,,,,,"[""崇阳陵""]",,,,,,,,,"[""太祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张辽,https://baike.baidu.com/item/%E5%BC%A0%E8%BE%BD/6764,"[""汉末三国""]","[""张辽""]","[""汉族""]","[""雁门马邑（今山西朔州）""]","[""222年""]","[""阵斩蹋顿，大破乌桓"", ""合肥之战，威震江东""]","[""征东将军、前将军""]","[""文远""]","[""晋阳侯""]",,"[""169年""]","[""刚侯""]",,,,,,,,,,,,"[""张辽止啼；登锋陷阵""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""白狼山之战""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐晃,https://baike.baidu.com/item/%E5%BE%90%E6%99%83/17356,"[""汉末三国""]","[""徐晃""]","[""汉族""]","[""河东杨县（今山西洪洞东南）""]","[""227年""]","[""大败韩猛；献计平关中；击破关羽，解樊城之围""]","[""右将军，假节""]","[""公明""]","[""逯乡侯→杨侯→阳平侯""]",,,"[""壮""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯惇,https://baike.baidu.com/item/%E5%A4%8F%E4%BE%AF%E6%83%87/6766,"[""汉末三国""]","[""夏侯惇""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""220年6月13日""]","[""魏国开国元勋""]","[""济阴太守、大将军""]","[""元让""]","[""高安乡侯""]","[""盲夏侯、夏侯元让""]",,"[""忠侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯渊,https://baike.baidu.com/item/%E5%A4%8F%E4%BE%AF%E6%B8%8A/17354,"[""东汉""]","[""夏侯渊""]","[""汉族""]","[""沛国谯（今安徽亳州）""]","[""219年""]","[""官渡督粮、平定凉州""]","[""征西将军""]","[""妙才""]","[""博昌亭侯""]","[""白地将军""]",,"[""愍""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庞德,https://baike.baidu.com/item/%E5%BA%9E%E5%BE%B7/1313,"[""东汉""]","[""庞德""]","[""汉族""]","[""南安狟道""]","[""219年""]","[""斩杀郭援，射关羽中额""]","[""中郎将→立义将军""]","[""令明""]","[""都亭侯→关门亭侯""]","[""白马将军""]",,"[""壮侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹爽,https://baike.baidu.com/item/%E6%9B%B9%E7%88%BD/3681,"[""三国""]","[""曹爽""]","[""汉族""]","[""沛国谯县""]","[""249年2月9日""]","[""专擅曹魏朝政多年，势倾四海，声震天下""]","[""大将军、侍中等""]","[""昭伯""]","[""邵陵侯→武安侯""]","[""肥奴""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张郃,https://baike.baidu.com/item/%E5%BC%A0%E9%83%83/6769,"[""汉末三国""]","[""张郃""]","[""汉族""]","[""河间国鄚县（今河北任丘）""]","[""231年""]","[""江陵破吴，街亭败蜀""]","[""征西车骑将军""]","[""儁乂""]","[""鄚侯""]",,,"[""壮侯""]",,,,,,"[""将领""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李典,https://baike.baidu.com/item/%E6%9D%8E%E5%85%B8/31436,"[""东汉""]","[""李典""]","[""汉族""]","[""山阳郡钜野县（今山东巨野）""]",,"[""博望坡之战；逍遥津之战""]","[""破虏将军""]","[""曼成""]",,,,"[""愍侯""]",,,,,,"[""将领""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""36岁""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐进,https://baike.baidu.com/item/%E4%B9%90%E8%BF%9B/17825,"[""东汉""]","[""乐进""]","[""汉族""]","[""阳平卫国（今河南清丰）""]","[""218年""]","[""斩淳于琼；斩严敬；每战先登；击退关羽""]","[""右将军""]","[""文谦""]","[""广昌亭侯""]",,,"[""威""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
典韦,https://baike.baidu.com/item/%E5%85%B8%E9%9F%A6/6606,"[""东汉""]","[""典韦""]","[""汉族""]","[""陈留己吾""]","[""197年""]","[""濮阳之战击退吕布、宛城死战阻张绣""]","[""武猛校尉""]",,,"[""古之恶来""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""大双戟与长刀""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹洪,https://baike.baidu.com/item/%E6%9B%B9%E6%B4%AA/19052,"[""汉末三国""]","[""曹洪""]","[""汉人""]","[""沛国谯县（今安徽亳州）""]","[""232年""]","[""官渡守本营，退张郃、高览；下辩破吴兰，退张飞、马超""]","[""骠骑将军""]","[""子廉""]",,,,"[""恭侯""]",,,,,,,,,,,,,,,,"[""乐城侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹仁,https://baike.baidu.com/item/%E6%9B%B9%E4%BB%81/6767,"[""汉末三国""]","[""曹仁""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""223年5月6日""]","[""破走刘备、平定叛乱、保守樊城、多次参与大战""]","[""大将军、大司马、荆州刺史""]","[""子孝""]","[""陈侯""]",,"[""168年""]","[""忠""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹纯,https://baike.baidu.com/item/%E6%9B%B9%E7%BA%AF/1980343,"[""东汉末年""]","[""曹纯""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""210年""]","[""督领虎豹骑、斩首袁谭、俘获蹹顿、追杀刘备""]","[""黄门郎、议郎、司空参军、虎豹骑督""]","[""子和""]",,,"[""170年""]","[""威""]",,,,,,,,,,,,,,,,"[""高陵亭侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
